"date","name","infected","deaths"
"2020-02-19","China","74280","2006"
"2020-02-19","Japan","73","1"
"2020-02-19","Korea","51","0"
"2020-02-19","Thailand","35","0"
"2020-02-19","America","15","0"
"2020-02-19","Viet Nam","16","0"
"2020-02-19","Singapore","81","0"
"2020-02-19","France","12","1"
"2020-02-19","Australia","15","0"
"2020-02-19","Nepal","1","0"
"2020-02-19","Malaysia","22","0"
"2020-02-19","Canada","8","0"
"2020-02-19","Cambodia","1","0"
"2020-02-19","Sri Lanka","1","0"
"2020-02-19","Germany","16","0"
"2020-02-19","United Arab Emirates","9","0"
"2020-02-19","Philippines","3","1"
"2020-02-19","India","3","0"
"2020-02-19","Finland","1","0"
"2020-02-19","Belgium","1","0"
"2020-02-19","Italy","3","0"
"2020-02-19","Russia","2","0"
"2020-02-19","Spain","2","0"
"2020-02-19","Sweden","1","0"
"2020-02-19","United Kingdom","9","0"
"2020-02-19","Other","542","0"
"2020-02-19","Egypt","1","0"
